Region,Parameter,R2_log,MAE_log,Samples
20-30 & 30-75,Kd,0.8898773193359375,0.6368930339813232,91
20-30 & 10-30,Kd,0.8420881032943726,1.2872205972671509,49
10-20 & 10-30,Kp,0.8107223510742188,0.03760958090424538,35
10-20 & 1-10,Kp,0.7959625720977783,0.12441655993461609,16
5-10 & 1-10,Kd,0.7646342515945435,0.43017739057540894,11
10-20 & 30-75,Kp,0.7577918767929077,0.07237613201141357,90
1-5 & 30-75,Kp,0.6915543079376221,0.09180214256048203,45
10-20 & 30-75,Kd,0.6769082546234131,1.2402617931365967,90
20-30 & 10-30,Kp,0.6731946468353271,0.05411286652088165,49
1-5 & 10-30,Kd,0.6253308653831482,1.0631314516067505,11
1-5 & 10-30,Ki,0.4869881868362427,0.008977548219263554,11
10-20 & 10-30,Kd,0.4311808943748474,0.6225671172142029,35
10-20 & 1-10,Kd,0.41941720247268677,7.035754680633545,16
20-30 & 1-10,Kd,0.39267122745513916,0.4373830258846283,16
1-5 & 30-75,Kd,0.37687867879867554,3.154528856277466,45
20-30 & 30-75,Kp,0.341156005859375,0.05628648027777672,91
1-5 & 10-30,Kp,0.33502787351608276,0.3272364139556885,11
5-10 & 30-75,Kd,0.10741257667541504,1.1445568799972534,54
5-10 & 30-75,Kp,-0.36814403533935547,0.04477282240986824,54
10-20 & 30-75,Ki,-0.5103445053100586,0.0043147229589521885,90
5-10 & 10-30,Kd,-0.6631512641906738,1.5114789009094238,19
20-30 & 1-10,Kp,-0.6657757759094238,0.04005163908004761,16
5-10 & 10-30,Kp,-0.8963680267333984,0.061087578535079956,19
10-20 & 10-30,Ki,-1.6936211585998535,0.0034024356864392757,35
5-10 & 1-10,Kp,-1.7813286781311035,0.040717583149671555,11
1-5 & 30-75,Ki,-3.309218406677246,0.004350457806140184,45
20-30 & 30-75,Ki,-3.620950698852539,0.005433093290776014,91
10-20 & 1-10,Ki,-7.663141250610352,0.020690687000751495,16
20-30 & 10-30,Ki,-11.705254554748535,0.0039741769433021545,49
5-10 & 10-30,Ki,-17.329072952270508,0.007078256458044052,19
20-30 & 1-10,Ki,-17.745561599731445,0.006220880895853043,16
5-10 & 30-75,Ki,-17.85227394104004,0.004956644028425217,54
5-10 & 1-10,Ki,-27.057905197143555,0.00507728336378932,11
